     light   presence   light_on    timestamp
    54.167          1          0   1470712889
    54.167          1          0   1470712949
     0.000          1          0   1470713009
     0.000          1          0   1470713069
     0.000          0          0   1470713129
     0.000          0          0   1470713189
     0.000          0          0   1470713249
     0.000          0          0   1470713309
     0.000          0          0   1470713369
     0.000          0          0   1470713430
     0.000          0          0   1470713490
     0.000          0          0   1470713550
     0.000          0          0   1470713610
     0.000          0          0   1470713670
     0.000          0          0   1470713730
     0.000          0          0   1470713790
     0.000          0          0   1470713850
     0.000          0          0   1470713910
     0.000          0          0   1470713970
     0.000          0          0   1470714030
     0.000          0          0   1470714090
     0.000          0          0   1470714150
     0.000          0          0   1470714210
     0.000          0          0   1470714270
     0.000          0          0   1470714330
     0.000          0          0   1470714390
     0.000          0          0   1470714450
     0.000          0          0   1470714510
     0.000          0          0   1470714571
     0.000          0          0   1470714631
     0.000          0          0   1470714691
     0.000          0          0   1470714751
     0.000          0          0   1470714811
     0.000          0          0   1470714871
     0.000          0          0   1470714931
     0.000          0          0   1470714991
     0.000          0          0   1470715051
     0.000          0          0   1470715111
     0.000          0          0   1470715171
     0.000          0          0   1470715231
     0.000          0          0   1470715291
     0.000          0          0   1470715351
     0.000          0          0   1470715411
     0.000          0          0   1470715471
     0.000          0          0   1470715531
     0.000          0          0   1470715591
     0.000          0          0   1470715652
     0.000          0          0   1470715712
     0.000          0          0   1470715772
     0.000          0          0   1470715832
     0.000          0          0   1470715892
     0.000          0          0   1470715952
     0.000          0          0   1470716012
     0.000          0          0   1470716072
     0.000          0          0   1470716132
     0.000          0          0   1470716192
     0.000          0          0   1470716252
     0.000          0          0   1470716312
     0.000          0          0   1470716372
     0.000          0          0   1470716432
     0.000          0          0   1470716492
     0.000          0          0   1470716552
     0.000          0          0   1470716612
     0.000          0          0   1470716672
     0.000          0          0   1470716732
     0.000          0          0   1470716793
     0.000          0          0   1470716853
     0.000          0          0   1470716913
     0.000          0          0   1470716973
     0.000          0          0   1470717033
     0.000          0          0   1470717093
     0.000          0          0   1470717153
     0.000          0          0   1470717213
     0.000          0          0   1470717273
     0.000          0          0   1470717333
     0.000          0          0   1470717393
     0.000          0          0   1470717453
     0.000          0          0   1470717513
     0.000          0          0   1470717573
     0.000          0          0   1470717633
     0.000          0          0   1470717693
     0.000          0          0   1470717753
     0.000          0          0   1470717813
     0.000          0          0   1470717873
     0.000          0          0   1470717934
     0.000          0          0   1470717994
     0.000          0          0   1470718054
     0.000          0          0   1470718114
     0.000          0          0   1470718174
     0.000          0          0   1470718234
     0.000          0          0   1470718294
     0.000          0          0   1470718354
     0.000          0          0   1470718414
     0.000          0          0   1470718474
     0.000          0          0   1470718534
     0.000          0          0   1470718594
     0.000          0          0   1470718654
     0.000          0          0   1470718714
     0.000          0          0   1470718774
     0.000          0          0   1470718834
     0.000          0          0   1470718894
     0.000          0          0   1470718954
     0.000          0          0   1470719015
     0.000          0          0   1470719075
     0.000          0          0   1470719135
     0.000          0          0   1470719195
     0.000          0          0   1470719255
     0.000          0          0   1470719315
     0.000          0          0   1470719375
     0.000          0          0   1470719435
     0.000          0          0   1470719495
     0.000          0          0   1470719555
     0.000          0          0   1470719615
     0.000          0          0   1470719675
     0.000          0          0   1470719735
     0.000          0          0   1470719795
     0.000          0          0   1470719855
     0.000          0          0   1470719915
     0.000          0          0   1470719976
     0.000          0          0   1470720036
     0.000          0          0   1470720096
     0.000          0          0   1470720156
     0.000          0          0   1470720216
     0.000          0          0   1470720276
     0.000          0          0   1470720336
     0.000          0          0   1470720396
     0.000          0          0   1470720456
     0.000          0          0   1470720516
     0.000          0          0   1470720576
     0.000          0          0   1470720636
     0.000          0          0   1470720696
     0.000          0          0   1470720756
     0.000          0          0   1470720816
     0.000          0          0   1470720876
     0.000          0          0   1470720936
     0.000          0          0   1470720996
     0.000          0          0   1470721056
     0.000          0          0   1470721117
     0.000          0          0   1470721177
     0.000          0          0   1470721237
     0.000          0          0   1470721297
     0.000          0          0   1470721357
     0.000          0          0   1470721417
     0.000          0          0   1470721477
     0.000          0          0   1470721537
     0.000          0          0   1470721597
     0.000          0          0   1470721657
     0.000          0          0   1470721717
     0.000          0          0   1470721777
     0.000          0          0   1470721837
     0.000          0          0   1470721897
     0.000          0          0   1470721957
     0.000          0          0   1470722017
     0.000          0          0   1470722077
     0.000          0          0   1470722137
     0.000          0          0   1470722197
     0.000          0          0   1470722258
     0.000          0          0   1470722318
     0.000          0          0   1470722378
     0.000          0          0   1470722438
     0.000          0          0   1470722498
     0.000          0          0   1470722558
     0.000          0          0   1470722618
     0.000          0          0   1470722678
     0.000          0          0   1470722738
     0.000          0          0   1470722798
     0.000          0          0   1470722858
     0.000          0          0   1470722918
     0.000          0          0   1470722978
     0.000          0          0   1470723038
     0.000          0          0   1470723098
     0.000          0          0   1470723158
     0.000          0          0   1470723218
     0.000          0          0   1470723278
     0.000          0          0   1470723338
     0.000          0          0   1470723399
     0.000          0          0   1470723459
     0.000          0          0   1470723519
     0.000          0          0   1470723579
     0.000          0          0   1470723639
     0.000          0          0   1470723699
     0.000          0          0   1470723759
     0.000          0          0   1470723819
     0.000          0          0   1470723879
     0.000          0          0   1470723939
     0.000          0          0   1470723999
     0.000          0          0   1470724059
     0.000          0          0   1470724119
     0.000          0          0   1470724179
     0.000          0          0   1470724239
     0.000          0          0   1470724299
     0.000          0          0   1470724359
     0.000          0          0   1470724419
     0.000          0          0   1470724479
     0.000          0          0   1470724540
     0.000          0          0   1470724600
     0.000          0          0   1470724660
     0.000          0          0   1470724720
     0.000          0          0   1470724780
     0.000          0          0   1470724840
     0.000          0          0   1470724900
     0.000          0          0   1470724960
     0.000          0          0   1470725020
     0.000          0          0   1470725080
     0.000          0          0   1470725140
     0.000          0          0   1470725200
     0.000          0          0   1470725260
     0.000          0          0   1470725320
     0.000          0          0   1470725380
     0.000          0          0   1470725440
     0.000          0          0   1470725500
     0.000          0          0   1470725561
     0.000          0          0   1470725621
     0.000          0          0   1470725681
     0.000          0          0   1470725741
     0.000          0          0   1470725801
     0.000          0          0   1470725861
     0.000          0          0   1470725921
     0.000          0          0   1470725981
     0.000          0          0   1470726041
     0.000          0          0   1470726101
     0.000          0          0   1470726161
     0.000          0          0   1470726221
     0.000          0          0   1470726281
     0.000          0          0   1470726341
     0.000          0          0   1470726401
     0.000          0          0   1470726461
     0.000          0          0   1470726521
     0.000          0          0   1470726581
     0.000          0          0   1470726642
     0.000          0          0   1470726702
     0.000          0          0   1470726762
     0.000          0          0   1470726822
     0.000          0          0   1470726882
     0.000          0          0   1470726942
     0.000          0          0   1470727002
     0.000          0          0   1470727062
     0.000          0          0   1470727122
     0.000          0          0   1470727182
     0.000          0          0   1470727242
     0.000          0          0   1470727302
     0.000          0          0   1470727362
     0.000          0          0   1470727422
     0.000          0          0   1470727482
     0.000          0          0   1470727542
     0.000          0          0   1470727603
     0.000          0          0   1470727663
     0.000          0          0   1470727723
     0.000          0          0   1470727783
     0.000          0          0   1470727843
     0.000          0          0   1470727903
     0.000          0          0   1470727963
     0.000          0          0   1470728023
     0.000          0          0   1470728083
     0.000          0          0   1470728143
     0.000          0          0   1470728203
     0.000          0          0   1470728263
     0.000          0          0   1470728323
     0.000          0          0   1470728383
