Light Level : 55.8333333333 lx | Presence: 1 | Timestamp: 1466089265
Light Level : 55.0 lx | Presence: 1 | Timestamp: 1466089270
Light Level : 55.0 lx | Presence: 1 | Timestamp: 1466089325
Light Level : 55.0 lx | Presence: 1 | Timestamp: 1466089330
Light Level : 55.0 lx | Presence: 1 | Timestamp: 1466089385
Light Level : 54.1666666667 lx | Presence: 1 | Timestamp: 1466089390
Light Level : 54.1666666667 lx | Presence: 1 | Timestamp: 1466089445
Light Level : 50.8333333333 lx | Presence: 1 | Timestamp: 1466089450
Light Level : 50.8333333333 lx | Presence: 1 | Timestamp: 1466089505
Light Level : 50.0 lx | Presence: 1 | Timestamp: 1466089510
Light Level : 50.8333333333 lx | Presence: 0 | Timestamp: 1466089565
Light Level : 49.1666666667 lx | Presence: 1 | Timestamp: 1466089570
Light Level : 49.1666666667 lx | Presence: 1 | Timestamp: 1466089625
Light Level : 49.1666666667 lx | Presence: 0 | Timestamp: 1466089630
Light Level : 48.3333333333 lx | Presence: 1 | Timestamp: 1466089685
Light Level : 48.3333333333 lx | Presence: 1 | Timestamp: 1466089690
Light Level : 48.3333333333 lx | Presence: 1 | Timestamp: 1466089745
Light Level : 46.6666666667 lx | Presence: 1 | Timestamp: 1466089750
Light Level : 46.6666666667 lx | Presence: 1 | Timestamp: 1466089805
Light Level : 45.0 lx | Presence: 1 | Timestamp: 1466089810
Light Level : 44.1666666667 lx | Presence: 0 | Timestamp: 1466089865
Light Level : 43.3333333333 lx | Presence: 0 | Timestamp: 1466089870
Light Level : 43.3333333333 lx | Presence: 1 | Timestamp: 1466089925
Light Level : 41.6666666667 lx | Presence: 1 | Timestamp: 1466089930
Light Level : 41.6666666667 lx | Presence: 0 | Timestamp: 1466089985
Light Level : 40.8333333333 lx | Presence: 0 | Timestamp: 1466089990
Light Level : 41.6666666667 lx | Presence: 1 | Timestamp: 1466090045
Light Level : 40.8333333333 lx | Presence: 1 | Timestamp: 1466090050
Light Level : 40.8333333333 lx | Presence: 0 | Timestamp: 1466090105
Light Level : 40.0 lx | Presence: 0 | Timestamp: 1466090110
Light Level : 40.0 lx | Presence: 0 | Timestamp: 1466090165
Light Level : 39.1666666667 lx | Presence: 1 | Timestamp: 1466090170
Light Level : 39.1666666667 lx | Presence: 0 | Timestamp: 1466090225
Light Level : 38.3333333333 lx | Presence: 0 | Timestamp: 1466090230
Light Level : 38.3333333333 lx | Presence: 1 | Timestamp: 1466090285
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090290
Light Level : 38.3333333333 lx | Presence: 1 | Timestamp: 1466090345
Light Level : 37.5 lx | Presence: 0 | Timestamp: 1466090350
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090405
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090411
Light Level : 36.6666666667 lx | Presence: 1 | Timestamp: 1466090465
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090471
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090525
Light Level : 36.6666666667 lx | Presence: 1 | Timestamp: 1466090531
Light Level : 37.5 lx | Presence: 1 | Timestamp: 1466090585
Light Level : 35.0 lx | Presence: 1 | Timestamp: 1466090591
Light Level : 35.0 lx | Presence: 1 | Timestamp: 1466090645
Light Level : 31.6666666667 lx | Presence: 1 | Timestamp: 1466090651
Light Level : 31.6666666667 lx | Presence: 0 | Timestamp: 1466090705
Light Level : 30.8333333333 lx | Presence: 1 | Timestamp: 1466090711
Light Level : 30.8333333333 lx | Presence: 1 | Timestamp: 1466090765
