     light   presence    timestamp
     0.000          0   1466219294
     0.000          1   1466219362
     0.000          1   1466219422
    10.000          1   1466219482
     0.000          1   1466219542
     0.000          1   1466219602
     7.500          0   1466219662
     0.000          0   1466219722
     0.000          1   1466219782
     0.000          0   1466219842
     0.000          1   1466219902
    18.333          1   1466219962
     0.000          1   1466220022
     0.000          0   1466220082
     0.000          0   1466220142
     0.000          0   1466220202
     0.000          0   1466220262
     0.000          0   1466220322
     0.000          0   1466220383
     0.000          0   1466220443
     0.000          0   1466220503
     0.000          0   1466220563
     0.000          0   1466220623
     0.000          0   1466220683
     0.000          0   1466220743
     0.000          0   1466220803
     0.000          0   1466220863
     0.000          0   1466220923
     0.000          0   1466220983
     0.000          0   1466221043
     0.000          0   1466221103
     0.000          0   1466221163
     0.000          0   1466221223
     0.000          0   1466221283
     0.000          0   1466221343
     0.000          0   1466221404
     0.000          0   1466221464
     0.000          0   1466221524
     0.000          0   1466221584
     0.000          0   1466221644
     0.000          0   1466221704
     0.000          0   1466221764
     0.000          0   1466221824
     0.000          0   1466221884
     0.000          0   1466221944
     0.000          0   1466222004
     0.000          0   1466222064
     0.000          0   1466222124
     0.000          0   1466222184
     0.000          0   1466222244
     0.000          0   1466222304
     0.000          0   1466222364
     0.000          0   1466222424
     0.000          0   1466222484
     0.000          0   1466222545
     0.000          0   1466222605
     0.000          0   1466222665
     0.000          0   1466222725
     0.000          0   1466222785
     0.000          0   1466222845
     0.000          0   1466222905
     0.000          0   1466222965
     0.000          0   1466223025
     0.000          0   1466223085
     0.000          0   1466223145
     0.000          0   1466223205
     0.000          0   1466223265
     0.000          0   1466223325
     0.000          0   1466223385
     0.000          0   1466223445
     0.000          0   1466223505
     0.000          0   1466223566
     0.000          0   1466223626
     0.000          0   1466223686
     0.000          0   1466223746
     0.000          0   1466223806
     0.000          0   1466223866
     0.000          0   1466223926
     0.000          0   1466223986
     0.000          0   1466224046
     0.000          0   1466224106
     0.000          0   1466224166
     0.000          0   1466224226
     0.000          0   1466224286
     0.000          0   1466224346
     0.000          0   1466224406
     0.000          0   1466224466
     0.000          0   1466224526
     0.000          0   1466224586
     0.000          0   1466224647
     0.000          0   1466224707
     0.000          0   1466224767
     0.000          0   1466224827
     0.000          0   1466224887
     0.000          0   1466224947
     0.000          0   1466225007
     0.000          0   1466225067
     0.000          0   1466225127
     0.000          0   1466225187
     0.000          0   1466225247
     0.000          0   1466225307
     0.000          0   1466225367
     0.000          0   1466225427
     0.000          0   1466225487
     0.000          0   1466225547
     0.000          0   1466225608
     0.000          0   1466225668
     0.000          0   1466225728
     0.000          0   1466225788
     0.000          0   1466225848
     0.000          0   1466225908
     0.000          0   1466225968
     0.000          0   1466226028
     0.000          0   1466226088
     0.000          0   1466226148
     0.000          0   1466226208
     0.000          0   1466226268
     0.000          0   1466226328
     0.000          0   1466226388
     0.000          0   1466226448
     0.000          0   1466226509
     0.000          0   1466226569
     0.000          0   1466226629
     0.000          0   1466226689
